url_path,views_total,views_unique
/equinor/power-platform-skills,18,6
/equinor/power-platform-skills/blob/main/README.md,5,3
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/baseline.md,4,1
/hjaf/power-platform-skills,3,1
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/README.md,2,1
/equinor/power-platform-skills/security,2,1
/Hjaf/power-platform-skills,1,1
/Hjaf/power-platform-skills/blob/main/scripts/install.js,1,1
/Hjaf/power-platform-skills/tree/main,1,1
/Hjaf/power-platform-skills/tree/main/scripts,1,1
